City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Rocha,UY,2021-07-22 21:05:32,-34.4833,-54.3333,51.51,76,83,6.08
143,Kaduqli,SD,2021-07-22 21:05:33,11.0167,29.7167,76.24,75,72,1.54
144,Cravo Norte,CO,2021-07-22 21:05:33,6.3017,-70.2041,74.61,93,99,6.44
145,Tuatapere,NZ,2021-07-22 21:05:34,-46.1333,167.6833,39.81,85,10,5.5
146,Gazojak,TM,2021-07-22 21:00:44,41.1875,61.4036,84.61,17,0,12.19
147,Platteville,US,2021-07-22 21:05:34,42.7342,-90.4785,88.79,58,40,6.91
148,Khatanga,RU,2021-07-22 21:05:34,71.9667,102.5,53.62,87,58,8.41
149,Egvekinot,RU,2021-07-22 21:04:11,66.3167,-179.1667,42.98,74,94,1.23
150,Constitucion,CL,2021-07-22 21:05:35,-35.3333,-72.4167,57.2,78,100,10.58
151,Upernavik,GL,2021-07-22 21:05:35,72.7868,-56.1549,40.91,92,100,2.51
152,Port Macquarie,AU,2021-07-22 21:05:36,-31.4333,152.9167,47.89,87,100,6.8
153,Henties Bay,NA,2021-07-22 21:05:36,-22.116,14.2845,54.86,70,0,4.43
154,Talnakh,RU,2021-07-22 21:05:29,69.4865,88.3972,53.92,88,95,4.61
155,Ouallam,NE,2021-07-22 21:05:37,14.3188,2.0866,94.05,37,96,4.43
156,Port Hueneme,US,2021-07-22 21:05:37,34.1478,-119.1951,100.06,64,1,12.66
157,Jalu,LY,2021-07-22 21:05:37,29.0331,21.5482,81.84,56,4,19.8
158,Luderitz,NA,2021-07-22 21:05:38,-26.6481,15.1594,58.28,34,5,10.54
159,Makat,KZ,2021-07-22 21:05:38,47.6469,53.3463,88.83,29,46,9.01
160,Lawton,US,2021-07-22 21:02:26,34.6087,-98.3903,91.87,44,1,11.5
161,Atuona,PF,2021-07-22 21:05:39,-9.8,-139.0333,77.45,70,93,9.91
162,Hammerfest,NO,2021-07-22 21:05:39,70.6634,23.6821,41.45,87,75,10.36
163,Manzanillo,CU,2021-07-22 21:05:40,20.3433,-77.1167,92.14,48,23,5.93
164,Road Town,VG,2021-07-22 21:04:39,18.4167,-64.6167,86.04,70,20,12.66
