City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Birnin Kebbi,NG,89.22,broken clouds,12.4539,4.1975,Saffar Guest Inn Ltd
289,Skuodas,LT,82.18,overcast clouds,56.2667,21.5333,Skuodiskio uzeiga
293,Sibu,MY,75.9,broken clouds,2.3,111.8167,RH HOTEL (4 Star)
294,La Palma,US,82.11,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
297,Odiongan,PH,82.74,overcast clouds,12.4017,121.9919,Sato Dizon Arcade
301,Bombay,IN,82.38,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
302,Shirgaon,IN,80.87,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
303,Touros,BR,83.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
304,Leh,IN,75.25,scattered clouds,34.1667,77.5833,Hotel Ladakh Greens
305,Dingle,PH,79.36,light rain,10.9995,122.6711,SEGAYA PROPERTY
308,Bathsheba,BB,83.89,overcast clouds,13.2167,-59.5167,Atlantis Hotel
313,Half Moon Bay,US,78.91,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
314,Tatarka,RU,78.76,clear sky,44.9589,41.9517,"Sofi De Lyuks, Gostinichnyy Kompleks"
324,Hami,CN,88.43,scattered clouds,42.8,93.45,Laoyutang Resort
325,Dicabisagan,PH,81.73,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
328,Ararat,AM,86.34,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
332,Padang,ID,77.59,overcast clouds,-0.9492,100.3543,Mercure Padang
336,Ornes,NO,79.5,scattered clouds,66.8689,13.7078,Ørnes Hotell AS
341,Sinnamary,GF,82.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
343,Guadalajara,MX,80.98,few clouds,20.6667,-103.3333,Hotel Aranzazú
346,Balangir,IN,82.4,moderate rain,20.7167,83.4833,Sarojinee Residency
348,Xanxere,BR,76.12,scattered clouds,-26.8769,-52.4042,Center Hotel
353,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
355,Cuencame,MX,83.17,clear sky,24.8711,-103.6964,Hotel La Casa Del Viajero
362,Coahuayana,MX,89.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
367,Kahului,US,79.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
369,Ierapetra,GR,77.18,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
370,Bonthe,SL,78.71,light rain,7.5264,-12.505,Bonthe Holiday Village
372,Daru,PG,76.98,overcast clouds,-9.0763,143.2092,Daru Lodge
374,Lompoc,US,78.01,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
377,Bose,IT,76.5,few clouds,45.4612,8.0137,Locanda Borgo Antico
379,Xiamen,CN,82.71,overcast clouds,24.4798,118.0819,Xiamen Dongchen Hotel
381,Los Llanos De Aridane,ES,76.12,few clouds,28.6585,-17.9182,Valle Aridane
382,Galdar,ES,76.35,broken clouds,28.147,-15.6502,Hostel Guide
383,Pasni,PK,81.73,overcast clouds,25.2631,63.471,Kashmiri Hotal
384,Denpasar,ID,76.66,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
385,Kvareli,GE,78.62,clear sky,41.9524,45.8151,Kvareli Eden
386,Lethem,GY,88.74,broken clouds,3.3803,-59.7968,Savannah Inn
397,Lata,PT,83.05,clear sky,40.1629,-8.3327,Casa Maquia
400,Pedernales,DO,87.6,overcast clouds,18.0384,-71.744,Hotel Costa Marina
401,Hobyo,SO,77.43,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
406,Fortuna,US,82.42,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
410,Naliya,IN,82.11,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
412,La Romana,DO,89.98,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
414,Trairi,BR,84.92,few clouds,-3.2778,-39.2689,janelas do mar
416,San Narciso,PH,81.99,overcast clouds,15.0143,120.0803,Beach Club Luxury Studio
421,Oyama,JP,77.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
423,Jasidih,IN,84.02,overcast clouds,24.5167,86.65,OYO 18873 Hotel Comfort
424,Morehead,US,89.31,broken clouds,37.2711,-87.1764,CCI Express Inn
428,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
429,Dong Hoi,VN,81.84,broken clouds,17.4833,106.6,Nam Long Hotel
