City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Beringovskiy,RU,63.05,179.3167,52.65,93,100,5.26,overcast clouds
217,Shakawe,BW,-18.3667,21.85,55.69,34,2,6.62,clear sky
218,Lorengau,PG,-2.0226,147.2712,80.89,76,46,2.95,scattered clouds
219,Bandarbeyla,SO,9.4942,50.8122,77.92,77,53,28.72,broken clouds
220,Provins,FR,48.5833,3.1667,72.91,77,72,7.7,broken clouds
221,Sinegorye,RU,62.0788,150.477,45.64,96,100,2.82,light rain
222,Kondinskoye,RU,59.6481,67.41,58.06,62,98,7.4,overcast clouds
223,Mackay,AU,-21.15,149.2,54.05,72,18,5.7,few clouds
224,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,39,0,19.57,clear sky
225,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,61,0,19.57,clear sky
226,Qeshm,IR,26.9581,56.2719,96.67,70,1,9.19,clear sky
227,Deputatskiy,RU,69.3,139.9,46.06,86,100,4.65,overcast clouds
228,Ajdabiya,LY,30.7554,20.2263,84.51,43,0,23.24,clear sky
229,Kovur,IN,14.4833,79.9833,91.08,44,99,15.21,overcast clouds
230,Chhuikhadan,IN,21.5333,80.9833,79.5,76,97,11.18,heavy intensity rain
231,Zhangjiakou,CN,40.81,114.8794,67.24,81,100,5.06,overcast clouds
232,Leshukonskoye,RU,64.8989,45.7622,49.21,71,91,11.14,overcast clouds
233,Pacific Grove,US,36.6177,-121.9166,71.11,91,90,4.0,overcast clouds
234,Ucluelet,CA,48.9329,-125.5528,64.09,85,24,1.01,few clouds
235,Nishihara,JP,26.1842,127.7558,81.68,95,90,13.8,overcast clouds
236,Coquimbo,CL,-29.9533,-71.3436,60.53,72,20,13.8,few clouds
237,Iqaluit,CA,63.7506,-68.5145,47.7,87,99,5.99,overcast clouds
238,Egvekinot,RU,66.3167,-179.1667,43.32,98,100,3.58,moderate rain
239,Nemuro,JP,43.3236,145.575,60.78,99,100,13.09,overcast clouds
240,Sur,OM,22.5667,59.5289,92.88,52,71,13.82,broken clouds
241,Tura,IN,25.5198,90.2201,76.78,93,100,2.91,overcast clouds
242,Vilhena,BR,-12.7406,-60.1458,92.66,25,0,5.37,clear sky
243,Rochegda,RU,62.8,43.25,52.56,59,1,8.93,clear sky
244,Shiggaon,IN,15.0,75.2333,70.03,94,72,10.69,broken clouds
245,Silver City,US,32.7701,-108.2803,78.76,41,1,5.01,clear sky
246,Tabou,CI,4.423,-7.3528,77.54,74,74,11.52,broken clouds
247,Bambous Virieux,MU,-20.3428,57.7575,66.22,78,22,10.25,light rain
248,Kashary,RU,49.04,41.0056,76.28,40,24,10.94,few clouds
249,Soloneshnoye,RU,51.6544,84.3197,60.26,97,13,3.89,few clouds
250,Seminole,US,28.7086,-81.2081,96.73,59,40,1.99,scattered clouds
251,Dalnerechensk,RU,45.9339,133.7225,71.24,85,75,5.21,broken clouds
252,Ponta Do Sol,PT,32.6667,-17.1,81.01,78,21,2.48,few clouds
253,Carbonia,IT,39.1672,8.5222,83.05,46,71,8.16,broken clouds
254,Halapitan,PH,7.9175,125.33,70.03,95,100,3.02,overcast clouds
255,Nelson,NZ,-41.2833,173.2833,50.29,97,90,8.75,overcast clouds
256,Sadska,CZ,50.136,14.9863,74.08,89,58,6.11,broken clouds
257,Pisco,PE,-13.7,-76.2167,69.03,68,0,6.91,clear sky
258,Bolotnoye,RU,55.6717,84.3981,58.89,92,64,14.16,broken clouds
259,Itupiranga,BR,-5.1347,-49.3267,98.92,29,50,3.51,scattered clouds
260,Ola,RU,59.5833,151.2833,53.65,98,100,1.92,light rain
261,Otradnoye,RU,59.7775,30.8181,77.05,69,22,4.16,moderate rain
262,Karaton,ID,-6.3424,106.1045,78.96,90,21,0.96,few clouds
263,Port Blair,IN,11.6667,92.75,82.08,86,100,20.6,light rain
264,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,87,75,6.91,broken clouds
265,Vostok,RU,46.4856,135.8833,69.12,92,97,3.67,overcast clouds
266,Kuala Terengganu,MY,5.3302,103.1408,79.7,85,70,3.87,moderate rain
267,Ampanihy,MG,-24.7,44.75,62.06,67,57,15.32,broken clouds
268,Emerald,AU,-23.5333,148.1667,46.98,50,0,3.65,clear sky
269,Rawson,AR,-43.3002,-65.1023,46.76,40,11,29.57,few clouds
270,Murakami,JP,38.2333,139.4833,70.3,66,100,3.47,overcast clouds
271,Salalah,OM,17.0151,54.0924,78.89,89,75,5.75,broken clouds
272,Yakovlevka,RU,44.425,133.4772,71.1,93,72,3.49,broken clouds
273,Aguimes,ES,27.9054,-15.4461,74.66,78,20,32.21,few clouds
274,Kauhajoki,FI,62.4333,22.1833,76.98,58,25,4.65,scattered clouds
275,Tatawin,TN,32.9297,10.4518,89.64,24,0,19.08,clear sky
276,Orsha,BY,54.5153,30.4053,69.19,63,58,4.94,broken clouds
277,Hualmay,PE,-11.0964,-77.6139,68.61,72,39,12.91,scattered clouds
278,Maningrida,AU,-12.0667,134.2667,63.32,91,45,7.58,scattered clouds
279,Grove City,US,39.8815,-83.093,89.71,44,20,3.0,few clouds
280,Pizarro,CO,4.9533,-77.366,81.23,73,81,8.32,broken clouds
281,Ossora,RU,59.2353,163.0719,59.79,97,100,8.32,light rain
282,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,78.84,32,39,8.05,scattered clouds
283,Poronaysk,RU,49.2167,143.1167,67.46,85,100,2.46,overcast clouds
284,Chulucanas,PE,-5.0925,-80.1625,86.76,44,2,6.26,clear sky
285,Dongying,CN,37.4564,118.4856,79.27,85,99,7.34,overcast clouds
286,Birnin Kebbi,NG,12.4539,4.1975,89.22,51,61,7.47,broken clouds
287,Tigre,AR,-34.426,-58.5796,60.26,35,0,10.36,clear sky
288,Puerto Suarez,BO,-18.95,-57.8,95.56,29,0,13.8,clear sky
289,Skuodas,LT,56.2667,21.5333,82.18,56,99,8.12,overcast clouds
290,Blitar,ID,-8.0983,112.1681,68.63,91,43,1.99,scattered clouds
291,Belaya Gora,RU,68.5333,146.4167,47.89,56,100,9.78,overcast clouds
292,Mandalgovi,MN,45.7625,106.2708,60.71,75,63,5.97,broken clouds
293,Sibu,MY,2.3,111.8167,75.9,98,75,1.12,broken clouds
294,La Palma,US,33.8464,-118.0467,82.11,81,90,4.0,overcast clouds
295,Lasa,IT,46.6166,10.7002,70.02,84,65,2.42,broken clouds
296,Urdoma,RU,61.7533,48.5442,49.68,98,73,4.76,broken clouds
297,Odiongan,PH,12.4017,121.9919,82.74,81,93,22.84,overcast clouds
298,Whitianga,NZ,-36.8333,175.7,51.03,84,34,10.51,scattered clouds
299,Port Macquarie,AU,-31.4333,152.9167,46.38,78,0,5.5,clear sky
300,Chimoio,MZ,-19.1164,33.4833,51.62,69,20,3.13,few clouds
301,Bombay,IN,19.0144,72.8479,82.38,83,75,9.22,haze
302,Shirgaon,IN,19.7,72.7,80.87,84,92,19.15,overcast clouds
303,Touros,BR,-5.1989,-35.4608,83.3,62,16,17.67,few clouds
304,Leh,IN,34.1667,77.5833,75.25,30,40,6.78,scattered clouds
305,Dingle,PH,10.9995,122.6711,79.36,85,100,11.27,light rain
306,Ilulissat,GL,69.2167,-51.1,55.42,47,75,14.97,light rain
307,Beloha,MG,-25.1667,45.05,62.22,65,28,14.97,scattered clouds
308,Bathsheba,BB,13.2167,-59.5167,83.89,67,92,14.54,overcast clouds
309,Roebourne,AU,-20.7833,117.1333,69.96,65,51,8.39,light rain
310,Beitbridge,ZW,-22.2167,30.0,55.67,57,18,2.3,few clouds
311,Nadym,RU,65.5333,72.5167,54.41,63,71,4.38,broken clouds
312,Geraldton,AU,-28.7667,114.6,65.12,68,90,26.46,overcast clouds
313,Half Moon Bay,US,37.4636,-122.4286,78.91,74,75,0.0,broken clouds
314,Tatarka,RU,44.9589,41.9517,78.76,48,0,13.0,clear sky
315,Bon Accord,CA,53.8335,-113.4187,74.79,60,17,7.94,few clouds
316,Bilibino,RU,68.0546,166.4372,42.42,72,31,6.78,scattered clouds
317,Bengkulu,ID,-3.8004,102.2655,74.41,76,43,4.43,scattered clouds
318,Moyale,KE,3.5167,39.0584,72.36,43,94,9.35,overcast clouds
319,Forrest City,US,35.0081,-90.7898,93.06,58,4,2.98,clear sky
320,Yakeshi,CN,49.2833,120.7333,59.31,97,99,3.69,overcast clouds
321,Tynset,NO,62.2759,10.7824,74.82,43,54,9.6,broken clouds
322,Avera,US,33.194,-82.5271,92.91,46,10,2.51,clear sky
323,Talakan,RU,50.3167,130.3667,68.92,98,100,4.59,moderate rain
324,Hami,CN,42.8,93.45,88.43,18,29,5.93,scattered clouds
325,Dicabisagan,PH,17.0818,122.4157,81.73,75,100,3.06,overcast clouds
326,Dalby,AU,-27.1833,151.2667,45.0,76,2,4.41,clear sky
327,Narrabri,AU,-30.3167,149.7833,44.64,86,0,4.16,clear sky
328,Ararat,AM,39.8317,44.7049,86.34,39,2,8.41,clear sky
329,Gambela,ET,8.25,34.5833,67.42,99,100,1.7,overcast clouds
330,Huarmey,PE,-10.0681,-78.1522,70.54,71,36,13.29,scattered clouds
331,Nehe,CN,48.4833,124.8333,68.38,99,100,2.39,moderate rain
332,Padang,ID,-0.9492,100.3543,77.59,89,87,3.49,overcast clouds
333,Amiens,FR,49.9,2.3,70.79,82,80,6.87,broken clouds
334,Baykit,RU,61.67,96.37,67.8,71,37,3.76,scattered clouds
335,Glushkovo,RU,51.3392,34.6328,71.55,55,48,7.92,scattered clouds
336,Ornes,NO,66.8689,13.7078,79.5,76,35,6.6,scattered clouds
337,Hovd,MN,48.0056,91.6419,63.64,69,91,1.99,overcast clouds
338,Scarborough,GB,54.2797,-0.4044,73.22,71,36,8.99,scattered clouds
339,Santa Maria,BR,-29.6842,-53.8069,66.27,91,100,5.75,heavy intensity rain
340,Diego De Almagro,CL,-26.3667,-70.05,67.08,17,0,7.25,clear sky
341,Sinnamary,GF,5.3833,-52.95,82.8,73,55,8.88,broken clouds
342,Sena Madureira,BR,-9.0656,-68.6569,97.99,29,16,3.47,few clouds
343,Guadalajara,MX,20.6667,-103.3333,80.98,47,20,5.75,few clouds
344,Oriximina,BR,-1.7656,-55.8661,93.2,35,72,8.28,broken clouds
